contact_id,first_name,last_name,email,phone,company_name,website,category,location,seo_score,overall_score,recommended_service,priority,tags,sms_template,email_subject_template,email_body_template,score_reasons,source
11,Botanica,.,enquiries@botanicadayspa.com.au,+61396205992,Botanica Wellness Spa and Clinic,https://www.botanicadayspa.com.au/,med spa,Melbourne,100,85,AI Voice,high,med_spa;AI_Voice;priority_high;marvelus_lead;has_phone;has_email,"Hi Botanica, I help med spa in Melbourne, VIC, Australia stop missing calls with a natural AI receptionist that books 24/7. Quick 10-min look? [Your Name] Ma...","AI receptionist for med spa in Melbourne, VIC, Australia (24/7 booking)","Hi Botanica Wellness Spa and Clinic,\n\nI help med spa businesses in Melbourne, VIC, Australia get more bookings with a natural Australian AI receptionist that answers 24/7 and books clients straight into your calendar.\n\nWould you be open to a quick 10-min chat this week?\n\nBest,\n[Your Name]\nMarvelus",No chatbot | No click-to-call | Email found (+15) | Phone found (+10) | Complete contact info (+5),marvelus_lead_scraper
12,Hotel,.,relax@vhotelspa.com.au,+61396296600,V Hotel Spa - Luxury Day Spa,https://vhotelspa.com.au/,med spa,Melbourne,55,40,AI Voice,medium,med_spa;AI_Voice;priority_medium;marvelus_lead;has_phone;has_email,"Hi V, I help med spa in Melbourne, VIC, Australia stop missing calls with a natural AI receptionist that books 24/7. Quick 10-min look? [Your Name] Marvelus","AI receptionist for med spa in Melbourne, VIC, Australia (24/7 booking)","Hi V Hotel Spa - Luxury Day Spa,\n\nI help med spa businesses in Melbourne, VIC, Australia get more bookings with a natural Australian AI receptionist that answers 24/7 and books clients straight into your calendar.\n\nWould you be open to a quick 10-min chat this week?\n\nBest,\n[Your Name]\nMarvelus",Email found (+15) | Phone found (+10) | Direct owner-like email (+10) | Complete contact info (+5),marvelus_lead_scraper
13,Wellness,.,9a65e97ebe8141fca0c4fd686f70996b@sentry.wixpress.com,+61431881699,"Wellness Beauty & Head Spa (Day Spa, Facials, IPL, HIFU, Sound Healing, Hair Growth, Body Contouring)",https://www.wellnessbeauty.com.au/,med spa,Melbourne,50,70,AI Voice,high,med_spa;AI_Voice;priority_high;marvelus_lead;has_phone;has_email,"Hi Wellness, I help med spa in Melbourne, VIC, Australia stop missing calls with a natural AI receptionist that books 24/7. Quick 10-min look? [Your Name] Ma...","AI receptionist for med spa in Melbourne, VIC, Australia (24/7 booking)","Hi Wellness Beauty & Head Spa (Day Spa, Facials, IPL, HIFU, Sound Healing, Hair Growth, Body Contouring),\n\nI help med spa businesses in Melbourne, VIC, Australia get more bookings with a natural Australian AI receptionist that answers 24/7 and books clients straight into your calendar.\n\nWould you be open to a quick 10-min chat this week?\n\nBest,\n[Your Name]\nMarvelus",No chatbot | Email found (+15) | Phone found (+10) | Direct owner-like email (+10) | Complete contact info (+5),marvelus_lead_scraper
14,Sensu,.,,+61390176032,Sensu Spa,http://www.sensuspa.com.au/,med spa,Melbourne,50,85,AI Voice,high,med_spa;AI_Voice;priority_high;marvelus_lead;has_phone,"Hi Sensu, I help med spa in Melbourne, VIC, Australia stop missing calls with a natural AI receptionist that books 24/7. Quick 10-min look? [Your Name] Marvelus","AI receptionist for med spa in Melbourne, VIC, Australia (24/7 booking)","Hi Sensu Spa,\n\nI help med spa businesses in Melbourne, VIC, Australia get more bookings with a natural Australian AI receptionist that answers 24/7 and books clients straight into your calendar.\n\nWould you be open to a quick 10-min chat this week?\n\nBest,\n[Your Name]\nMarvelus",No chatbot | No click-to-call | Email found (+15) | Phone found (+10) | Complete contact info (+5),marvelus_lead_scraper
15,Body,.,,+61396964584,Body Freedom Spa & Clinic,http://www.bodyfreedomdayspa.com.au/,med spa,Melbourne,70,60,AI Voice,medium,med_spa;AI_Voice;priority_medium;marvelus_lead;has_phone,"Hi Body, I help med spa in Melbourne, VIC, Australia stop missing calls with a natural AI receptionist that books 24/7. Quick 10-min look? [Your Name] Marvelus","AI receptionist for med spa in Melbourne, VIC, Australia (24/7 booking)","Hi Body Freedom Spa & Clinic,\n\nI help med spa businesses in Melbourne, VIC, Australia get more bookings with a natural Australian AI receptionist that answers 24/7 and books clients straight into your calendar.\n\nWould you be open to a quick 10-min chat this week?\n\nBest,\n[Your Name]\nMarvelus",No chatbot | Email found (+15) | Phone found (+10) | Complete contact info (+5),marvelus_lead_scraper
16,Medical,.,flags@2x.webp,+61399169631,Medical Aesthetic - The Science of Good Skin,https://medicalaesthetic.com.au/?utm_source=googlebusinessprofile&utm_medium=organic&utm_campaign=Google+Business+Profile,med spa,Melbourne,75,40,AI Voice,low,med_spa;AI_Voice;priority_low;marvelus_lead;has_phone;has_email,"Hi Medical, I help med spa in Melbourne, VIC, Australia stop missing calls with a natural AI receptionist that books 24/7. Quick 10-min look? [Your Name] Mar...","AI receptionist for med spa in Melbourne, VIC, Australia (24/7 booking)","Hi Medical Aesthetic - The Science of Good Skin,\n\nI help med spa businesses in Melbourne, VIC, Australia get more bookings with a natural Australian AI receptionist that answers 24/7 and books clients straight into your calendar.\n\nWould you be open to a quick 10-min chat this week?\n\nBest,\n[Your Name]\nMarvelus",No chatbot | Phone found (+10),marvelus_lead_scraper
17,RELAX,.,,+61401971908,RELAX DAY SPA,https://www.relaxdayspa.com.au/,med spa,Melbourne,45,65,AI Voice,medium,med_spa;AI_Voice;priority_medium;marvelus_lead;has_phone,"Hi RELAX, I help med spa in Melbourne, VIC, Australia stop missing calls with a natural AI receptionist that books 24/7. Quick 10-min look? [Your Name] Marvelus","AI receptionist for med spa in Melbourne, VIC, Australia (24/7 booking)","Hi RELAX DAY SPA,\n\nI help med spa businesses in Melbourne, VIC, Australia get more bookings with a natural Australian AI receptionist that answers 24/7 and books clients straight into your calendar.\n\nWould you be open to a quick 10-min chat this week?\n\nBest,\n[Your Name]\nMarvelus",No chatbot | No click-to-call | Phone found (+10),marvelus_lead_scraper
18,Sakura,.,,+61396423663,Sakura Lounge,http://www.sakuralounge.com.au/,med spa,Melbourne,60,100,AI Voice,high,med_spa;AI_Voice;priority_high;marvelus_lead;has_phone,"Hi Sakura, I help med spa in Melbourne, VIC, Australia stop missing calls with a natural AI receptionist that books 24/7. Quick 10-min look? [Your Name] Marv...","AI receptionist for med spa in Melbourne, VIC, Australia (24/7 booking)","Hi Sakura Lounge,\n\nI help med spa businesses in Melbourne, VIC, Australia get more bookings with a natural Australian AI receptionist that answers 24/7 and books clients straight into your calendar.\n\nWould you be open to a quick 10-min chat this week?\n\nBest,\n[Your Name]\nMarvelus",No chatbot | No click-to-call | No booking flow | Email found (+15) | Phone found (+10) | Complete contact info (+5),marvelus_lead_scraper
19,Five,.,388fe63e6063cc241ca2a1b0f52622a3@o61919.ingest.us.sentry.io,+61403999758,Five Elements Spa,https://www.fresha.com/book-now/five-elements-spa-c5mtf1nt/all-offer?id=2629003&share=true&pId=278965,med spa,Melbourne,70,65,AI Voice,medium,med_spa;AI_Voice;priority_medium;marvelus_lead;has_phone;has_email,"Hi Five, I help med spa in Melbourne, VIC, Australia stop missing calls with a natural AI receptionist that books 24/7. Quick 10-min look? [Your Name] Marvelus","AI receptionist for med spa in Melbourne, VIC, Australia (24/7 booking)","Hi Five Elements Spa,\n\nI help med spa businesses in Melbourne, VIC, Australia get more bookings with a natural Australian AI receptionist that answers 24/7 and books clients straight into your calendar.\n\nWould you be open to a quick 10-min chat this week?\n\nBest,\n[Your Name]\nMarvelus",No chatbot | No click-to-call | Phone found (+10),marvelus_lead_scraper
20,Crown,.,reservations.mcm@crownhotels.com.au,+61392926182,Crown Spa Melbourne,http://www.crownhotels.com.au/crown-spa-melbourne/,med spa,Melbourne,55,65,AI Voice,medium,med_spa;AI_Voice;priority_medium;marvelus_lead;has_phone;has_email,"Hi Crown, I help med spa in Melbourne, VIC, Australia stop missing calls with a natural AI receptionist that books 24/7. Quick 10-min look? [Your Name] Marvelus","AI receptionist for med spa in Melbourne, VIC, Australia (24/7 booking)","Hi Crown Spa Melbourne,\n\nI help med spa businesses in Melbourne, VIC, Australia get more bookings with a natural Australian AI receptionist that answers 24/7 and books clients straight into your calendar.\n\nWould you be open to a quick 10-min chat this week?\n\nBest,\n[Your Name]\nMarvelus",No chatbot | No click-to-call | Phone found (+10),marvelus_lead_scraper
21,Seddon,.,user@domain.com,+61396877688,"Seddon Dental, Victoria St Clinic",http://www.seddondental.com.au/,dental clinic,Melbourne,45,40,AI Voice,low,dental_clinic;AI_Voice;priority_low;marvelus_lead;has_phone;has_email,"Hi Seddon, I help dental clinic in Melbourne, VIC, Australia stop missing calls with a natural AI receptionist that books 24/7. Quick 10-min look? [Your Name...","AI receptionist for dental clinic in Melbourne, VIC, Australia (24/7 booking)","Hi Seddon Dental, Victoria St Clinic,\n\nI help dental clinic businesses in Melbourne, VIC, Australia get more bookings with a natural Australian AI receptionist that answers 24/7 and books clients straight into your calendar.\n\nWould you be open to a quick 10-min chat this week?\n\nBest,\n[Your Name]\nMarvelus",No chatbot | Phone found (+10),marvelus_lead_scraper
22,Malvern,.,info@malvernfamilydental.com,+61395091439,Malvern Family Dental & Implant Centre,https://malvernfamilydental.com.au/,dental clinic,Melbourne,70,60,AI Voice,medium,dental_clinic;AI_Voice;priority_medium;marvelus_lead;has_phone;has_email,"Hi Malvern, I help dental clinic in Melbourne, VIC, Australia stop missing calls with a natural AI receptionist that books 24/7. Quick 10-min look? [Your Nam...","AI receptionist for dental clinic in Melbourne, VIC, Australia (24/7 booking)","Hi Malvern Family Dental & Implant Centre,\n\nI help dental clinic businesses in Melbourne, VIC, Australia get more bookings with a natural Australian AI receptionist that answers 24/7 and books clients straight into your calendar.\n\nWould you be open to a quick 10-min chat this week?\n\nBest,\n[Your Name]\nMarvelus",No chatbot | Email found (+15) | Phone found (+10) | Complete contact info (+5),marvelus_lead_scraper
23,Melbourne,.,webmaster@melbourne.dentist-clinic.com,+61399999703,Melbourne Dentist Clinic,https://melbourne.dentist-clinic.com/,dental clinic,Melbourne,55,40,AI Voice,low,dental_clinic;AI_Voice;priority_low;marvelus_lead;has_phone;has_email,"Hi Melbourne, I help dental clinic in Melbourne, VIC, Australia stop missing calls with a natural AI receptionist that books 24/7. Quick 10-min look? [Your N...","AI receptionist for dental clinic in Melbourne, VIC, Australia (24/7 booking)","Hi Melbourne Dentist Clinic,\n\nI help dental clinic businesses in Melbourne, VIC, Australia get more bookings with a natural Australian AI receptionist that answers 24/7 and books clients straight into your calendar.\n\nWould you be open to a quick 10-min chat this week?\n\nBest,\n[Your Name]\nMarvelus",No chatbot | Phone found (+10),marvelus_lead_scraper
24,Australian,.,adcmelbournedentist@gmail.com,+61390880257,Australian Dentists Clinic,https://dentistsclinic.com.au/locations/melbourne-cbd/index.html,dental clinic,Melbourne,55,40,AI Voice,low,dental_clinic;AI_Voice;priority_low;marvelus_lead;has_phone;has_email,"Hi Australian, I help dental clinic in Melbourne, VIC, Australia stop missing calls with a natural AI receptionist that books 24/7. Quick 10-min look? [Your ...","AI receptionist for dental clinic in Melbourne, VIC, Australia (24/7 booking)","Hi Australian Dentists Clinic,\n\nI help dental clinic businesses in Melbourne, VIC, Australia get more bookings with a natural Australian AI receptionist that answers 24/7 and books clients straight into your calendar.\n\nWould you be open to a quick 10-min chat this week?\n\nBest,\n[Your Name]\nMarvelus",No chatbot | Phone found (+10),marvelus_lead_scraper
25,Gorgeous,.,info@gorgeoussmiles.com.au,+61390420483,Gorgeous Smiles Dentist Melbourne,https://www.gorgeoussmiles.com.au/,dental clinic,Melbourne,35,75,AI Voice,high,dental_clinic;AI_Voice;priority_high;marvelus_lead;has_phone;has_email,"Hi Gorgeous, I help dental clinic in Melbourne, VIC, Australia stop missing calls with a natural AI receptionist that books 24/7. Quick 10-min look? [Your Na...","AI receptionist for dental clinic in Melbourne, VIC, Australia (24/7 booking)","Hi Gorgeous Smiles Dentist Melbourne,\n\nI help dental clinic businesses in Melbourne, VIC, Australia get more bookings with a natural Australian AI receptionist that answers 24/7 and books clients straight into your calendar.\n\nWould you be open to a quick 10-min chat this week?\n\nBest,\n[Your Name]\nMarvelus",No chatbot | Low-tech website | Email found (+15) | Phone found (+10) | Complete contact info (+5),marvelus_lead_scraper
26,MC,.,docklands@mcdental.com.au,+61386088971,MC Dental Melbourne Central Shopping Centre,https://www.mcdental.com.au/,dental clinic,Melbourne,50,100,AI Voice,high,dental_clinic;AI_Voice;priority_high;marvelus_lead;has_phone;has_email,"Hi MC, I help dental clinic in Melbourne, VIC, Australia stop missing calls with a natural AI receptionist that books 24/7. Quick 10-min look? [Your Name] Ma...","AI receptionist for dental clinic in Melbourne, VIC, Australia (24/7 booking)","Hi MC Dental Melbourne Central Shopping Centre,\n\nI help dental clinic businesses in Melbourne, VIC, Australia get more bookings with a natural Australian AI receptionist that answers 24/7 and books clients straight into your calendar.\n\nWould you be open to a quick 10-min chat this week?\n\nBest,\n[Your Name]\nMarvelus",No chatbot | No click-to-call | No booking flow | Low-tech website | Phone found (+10),marvelus_lead_scraper
27,Dentist,.,dentistmelbourneclinic@gmail.com,+61399982636,Dentist Melbourne Clinic,https://www.dentistmelbourneclinic.com.au/index.php,dental clinic,Melbourne,55,40,AI Voice,low,dental_clinic;AI_Voice;priority_low;marvelus_lead;has_phone;has_email,"Hi Dentist, I help dental clinic in Melbourne, VIC, Australia stop missing calls with a natural AI receptionist that books 24/7. Quick 10-min look? [Your Nam...","AI receptionist for dental clinic in Melbourne, VIC, Australia (24/7 booking)","Hi Dentist Melbourne Clinic,\n\nI help dental clinic businesses in Melbourne, VIC, Australia get more bookings with a natural Australian AI receptionist that answers 24/7 and books clients straight into your calendar.\n\nWould you be open to a quick 10-min chat this week?\n\nBest,\n[Your Name]\nMarvelus",No chatbot | Phone found (+10),marvelus_lead_scraper
28,Smile,.,example@mail.com,+61396504920,Smile Solutions - Dentist Melbourne,https://www.smilesolutions.com.au/,dental clinic,Melbourne,55,10,AI Voice,low,dental_clinic;AI_Voice;priority_low;marvelus_lead;has_phone;has_email,"Hi Smile, I help dental clinic in Melbourne, VIC, Australia stop missing calls with a natural AI receptionist that books 24/7. Quick 10-min look? [Your Name]...","AI receptionist for dental clinic in Melbourne, VIC, Australia (24/7 booking)","Hi Smile Solutions - Dentist Melbourne,\n\nI help dental clinic businesses in Melbourne, VIC, Australia get more bookings with a natural Australian AI receptionist that answers 24/7 and books clients straight into your calendar.\n\nWould you be open to a quick 10-min chat this week?\n\nBest,\n[Your Name]\nMarvelus",Phone found (+10),marvelus_lead_scraper
29,Art,.,reception@artdedente.com.au,+61391256201,Art De Dente - Dentist Melbourne CBD,https://artdedente.com.au/,dental clinic,Melbourne,80,70,AI Voice,high,dental_clinic;AI_Voice;priority_high;marvelus_lead;has_phone;has_email,"Hi Art, I help dental clinic in Melbourne, VIC, Australia stop missing calls with a natural AI receptionist that books 24/7. Quick 10-min look? [Your Name] M...","AI receptionist for dental clinic in Melbourne, VIC, Australia (24/7 booking)","Hi Art De Dente - Dentist Melbourne CBD,\n\nI help dental clinic businesses in Melbourne, VIC, Australia get more bookings with a natural Australian AI receptionist that answers 24/7 and books clients straight into your calendar.\n\nWould you be open to a quick 10-min chat this week?\n\nBest,\n[Your Name]\nMarvelus",No chatbot | Email found (+15) | Phone found (+10) | Direct owner-like email (+10) | Complete contact info (+5),marvelus_lead_scraper
30,Affordable,.,,+611300721184,The Affordable Dentist Melbourne,https://affordabledentistcbd.melbourne/?utm_source=GMB&utm_medium=GMBprofile&utm_campaign=GMBprofile,dental clinic,Melbourne,55,10,AI Voice,low,dental_clinic;AI_Voice;priority_low;marvelus_lead;has_phone,"Hi The, I help dental clinic in Melbourne, VIC, Australia stop missing calls with a natural AI receptionist that books 24/7. Quick 10-min look? [Your Name] M...","AI receptionist for dental clinic in Melbourne, VIC, Australia (24/7 booking)","Hi The Affordable Dentist Melbourne,\n\nI help dental clinic businesses in Melbourne, VIC, Australia get more bookings with a natural Australian AI receptionist that answers 24/7 and books clients straight into your calendar.\n\nWould you be open to a quick 10-min chat this week?\n\nBest,\n[Your Name]\nMarvelus",Phone found (+10),marvelus_lead_scraper
31,Sanctuary,.,,+61393697987,Sanctuary Lakes Chiropractic,http://www.sanctuarylakeschiro.com.au/?utm_source=gmb&utm_medium=organic,chiropractic,Melbourne,35,55,AI Voice,medium,chiropractic;AI_Voice;priority_medium;marvelus_lead;has_phone,"Hi Sanctuary, I help chiropractic in Melbourne, VIC, Australia stop missing calls with a natural AI receptionist that books 24/7. Quick 10-min look? [Your Na...","AI receptionist for chiropractic in Melbourne, VIC, Australia (24/7 booking)","Hi Sanctuary Lakes Chiropractic,\n\nI help chiropractic businesses in Melbourne, VIC, Australia get more bookings with a natural Australian AI receptionist that answers 24/7 and books clients straight into your calendar.\n\nWould you be open to a quick 10-min chat this week?\n\nBest,\n[Your Name]\nMarvelus",No chatbot | Low-tech website | Phone found (+10),marvelus_lead_scraper
32,Melbourne,.,user@domain.com,+61386865611,Melbourne City Chiropractic,https://citychiro.com.au/,chiropractic,Melbourne,25,55,AI Voice,medium,chiropractic;AI_Voice;priority_medium;marvelus_lead;has_phone;has_email,"Hi Melbourne, I help chiropractic in Melbourne, VIC, Australia stop missing calls with a natural AI receptionist that books 24/7. Quick 10-min look? [Your Na...","AI receptionist for chiropractic in Melbourne, VIC, Australia (24/7 booking)","Hi Melbourne City Chiropractic,\n\nI help chiropractic businesses in Melbourne, VIC, Australia get more bookings with a natural Australian AI receptionist that answers 24/7 and books clients straight into your calendar.\n\nWould you be open to a quick 10-min chat this week?\n\nBest,\n[Your Name]\nMarvelus",No chatbot | Low-tech website | Phone found (+10),marvelus_lead_scraper
33,Errol,.,info@errolstchiro.com.au,+61393291118,Errol Street Chiropractic Centre,https://errolstchiro.com.au/,chiropractic,Melbourne,65,40,AI Voice,low,chiropractic;AI_Voice;priority_low;marvelus_lead;has_phone;has_email,"Hi Errol, I help chiropractic in Melbourne, VIC, Australia stop missing calls with a natural AI receptionist that books 24/7. Quick 10-min look? [Your Name] ...","AI receptionist for chiropractic in Melbourne, VIC, Australia (24/7 booking)","Hi Errol Street Chiropractic Centre,\n\nI help chiropractic businesses in Melbourne, VIC, Australia get more bookings with a natural Australian AI receptionist that answers 24/7 and books clients straight into your calendar.\n\nWould you be open to a quick 10-min chat this week?\n\nBest,\n[Your Name]\nMarvelus",No chatbot | Phone found (+10),marvelus_lead_scraper
34,Wellbeing,.,info@wellbeing365.com.au,+61396634099,Wellbeing Chiropractic Melbourne CBD,https://www.wellbeing365.com.au/chiropractor-melbourne-cbd,chiropractic,Melbourne,100,30,AI Voice,low,chiropractic;AI_Voice;priority_low;marvelus_lead;has_phone;has_email,"Hi Wellbeing, I help chiropractic in Melbourne, VIC, Australia stop missing calls with a natural AI receptionist that books 24/7. Quick 10-min look? [Your Na...","AI receptionist for chiropractic in Melbourne, VIC, Australia (24/7 booking)","Hi Wellbeing Chiropractic Melbourne CBD,\n\nI help chiropractic businesses in Melbourne, VIC, Australia get more bookings with a natural Australian AI receptionist that answers 24/7 and books clients straight into your calendar.\n\nWould you be open to a quick 10-min chat this week?\n\nBest,\n[Your Name]\nMarvelus",Email found (+15) | Phone found (+10) | Complete contact info (+5),marvelus_lead_scraper
